country,year,HS,log_gdp,social,life_exp,freedom,generosity,corruption,mental,schooling,alcohol,suicide,birth,obesity,continent
Sierra Leone,2019,3.447,7.449,0.611,52.4,0.718,0.074,0.874,2.075,3.5,1.761,0.637,4.169,3.03,AF
Singapore,2019,6.378,11.486,0.925,77.1,0.938,0.027,0.07,10.208,11.5,0.175,2.501,1.217,7.85,AS
Slovakia,2019,6.243,10.398,0.933,69.2,0.771,-0.129,0.926,4.574,12.5,3.194,1.278,1.521,15.88,EU
Slovenia,2019,6.665,10.563,0.949,71.4,0.945,-0.102,0.785,5.244,12.2,5.477,2.161,1.613,12.26,EU
South Africa,2019,5.035,9.432,0.848,56.9,0.738,-0.134,0.82,3.65,10.1,1.383,1.309,2.381,9.42,AF
South Korea,2019,5.903,10.661,0.783,73.9,0.706,-0.055,0.718,7.492,12.1,1.226,5.082,1.093,5.3,AS
Spain,2019,6.457,10.618,0.949,74.7,0.778,-0.049,0.73,8.063,9.8,0.608,0.898,1.344,9.97,EU
Sri Lanka,2019,4.213,9.479,0.815,67.4,0.824,0.051,0.863,6.313,10.9,2.047,3.587,2.188,9.41,AS
Eswatini,2019,4.396,9.07,0.759,51.27,0.597,-0.191,0.724,1.66,5.9,3.327,1.458,2.958,6.9,AF
Sweden,2019,7.398,10.882,0.934,72.7,0.942,0.091,0.25,8.103,12.4,2.336,1.518,1.846,9.42,EU
Switzerland,2019,7.694,11.136,0.949,74.4,0.913,0.036,0.294,8.112,13.4,1.766,1.755,1.542,8.82,EU
Taiwan,2019,6.537,10.871,0.893,69.6,0.814,-0.07,0.718,5.741,8.552077988712155,1.467,2.424,1.174,9.05,AS
Tajikistan,2019,5.464,8.126,0.88,64.4,0.832,-0.045,0.49,3.682,10.4,2.343,1.012,3.556,8.89,AS
Tanzania,2019,3.64,7.886,0.687,58.0,0.85,0.1,0.589,3.123,5.8,2.345,0.77,4.832,3.59,AF
Thailand,2019,6.022,9.824,0.903,67.4,0.898,0.309,0.877,5.661,7.6,2.515,1.876,1.514,9.16,AS
Togo,2019,4.179,7.375,0.539,55.1,0.617,0.065,0.737,3.009,4.8,2.059,1.126,4.259,3.76,AF
Tunisia,2019,4.315,9.283,0.61,67.2,0.659,-0.209,0.889,7.898,7.2,0.232,0.568,2.174,15.65,AF
Turkey,2019,4.872,10.246,0.792,67.2,0.631,-0.136,0.76,7.44,8.0,0.243,0.71,2.055,16.27,AS
Turkmenistan,2019,5.474,9.651,0.982,62.6,0.892,0.285,0.7411616213442773,4.064,9.8,2.892,1.328,2.74,18.19,AS
Uganda,2019,4.948,7.688,0.805,56.1,0.704,0.139,0.826,3.352,6.1,2.215,0.872,4.824,2.07,AF
Ukraine,2019,4.702,9.458,0.883,64.9,0.715,-0.081,0.885,3.631,11.3,13.883,1.983,1.438,15.32,EU
United Arab Emirates,2019,6.711,11.114,0.862,67.3,0.911,0.129,0.355,8.05,10.8,0.814,2.266,1.387,19.16,AS
United Kingdom,2019,7.157,10.751,0.943,72.5,0.854,0.271,0.485,7.039,12.9,2.751,0.95,1.746,9.33,EU
United States,2019,6.944,11.043,0.917,68.2,0.836,0.144,0.707,7.142,13.4,3.242,1.708,1.772,14.31,Nor.A
Uruguay,2019,6.6,9.979,0.933,69.1,0.903,-0.095,0.599,6.313,8.7,2.539,2.018,1.963,10.66,SA
Uzbekistan,2019,6.154,8.853,0.915,65.4,0.97,0.304,0.511,4.378,11.5,1.034,1.478,2.398,16.73,AS
Venezuela,2019,5.081,9.073,0.888,66.7,0.626,-0.169,0.839,5.393,10.3,0.697,1.612,2.25,14.71,SA
Vietnam,2019,5.467,8.992,0.848,68.1,0.952,-0.126,0.788,4.918,8.2,0.959,1.229,2.05,4.71,AS
Yemen,2019,4.197,7.578,0.87,57.5,0.651,-0.147,0.798,4.228,3.0,0.413,0.891,3.7,8.35,AS
Zambia,2019,3.307,8.155,0.638,55.8,0.811,0.077,0.832,2.835,7.0,2.797,0.981,4.559,2.82,AF
Zimbabwe,2019,2.694,7.95,0.759,56.2,0.632,-0.064,0.831,2.543,8.2,0.92,2.25,3.531,4.86,AF
